student_id,assigned,hours_used,exam_score,female,field,gpa_prior
1861,0,0.0,62.1,1,SocialSciences,2.11
354,1,10.6,66.1,0,STEM,2.69
1334,1,5.4,46.4,0,SocialSciences,1.37
906,0,0.0,65.9,0,SocialSciences,2.86
1290,1,6.7,65.5,1,Humanities,2.26
1274,1,0.0,72.6,1,SocialSciences,3.38
939,1,6.9,71.4,0,STEM,2.36
1732,0,0.0,57.0,1,SocialSciences,1.68
66,0,0.0,77.3,1,STEM,2.45
1324,0,0.0,50.5,0,SocialSciences,2.31
57,1,0.0,40.7,1,Humanities,2.63
1293,0,0.0,53.5,1,Humanities,1.98
1119,0,0.0,58.0,1,SocialSciences,2.63
585,1,8.9,75.9,1,SocialSciences,2.33
375,0,0.0,45.4,0,STEM,2.4
276,1,0.0,46.4,0,SocialSciences,2.75
747,0,0.0,46.6,0,Humanities,2.71
129,0,0.0,45.5,0,SocialSciences,2.67
1647,0,0.0,63.9,1,Humanities,2.81
1853,0,0.0,52.9,1,SocialSciences,2.88
675,1,0.0,57.5,0,SocialSciences,2.02
1665,0,0.0,40.3,1,SocialSciences,2.54
1982,0,0.0,69.5,1,SocialSciences,3.03
1084,0,0.0,57.1,0,Humanities,2.95
1923,0,0.0,39.7,0,STEM,1.95
100,0,0.0,69.2,0,SocialSciences,2.94
1180,0,0.0,43.5,0,SocialSciences,2.15
965,0,0.0,71.0,0,STEM,2.14
793,1,0.0,71.3,1,STEM,2.41
30,1,0.0,61.4,1,SocialSciences,2.17
629,1,0.0,65.5,1,STEM,2.82
945,1,4.8,60.0,0,STEM,2.36
573,0,0.0,59.8,1,STEM,2.29
908,0,0.0,58.7,0,Humanities,2.05
1081,0,0.0,55.0,1,STEM,2.58
451,1,8.8,58.8,0,STEM,2.19
1610,1,6.5,73.0,1,Humanities,2.6
1291,1,13.8,90.4,1,STEM,2.46
1079,1,0.0,56.4,1,SocialSciences,2.66
255,0,0.0,43.3,1,STEM,1.47
125,1,0.0,49.5,1,Humanities,1.98
1928,0,0.0,76.7,1,SocialSciences,2.47
252,1,11.9,60.7,0,STEM,2.54
586,1,6.4,71.9,1,SocialSciences,2.29
1569,1,4.7,58.1,0,SocialSciences,2.8
825,0,0.0,62.1,1,Humanities,2.8
508,1,4.8,42.7,0,SocialSciences,1.51
890,1,0.0,89.7,1,SocialSciences,3.37
71,0,0.0,75.7,1,Humanities,2.96
1609,0,0.0,62.0,0,STEM,1.76
1533,1,0.0,59.8,1,STEM,2.44
248,0,0.0,70.9,1,STEM,3.06
1451,1,8.5,58.8,0,STEM,2.46
213,0,0.0,56.5,1,SocialSciences,1.99
910,0,0.0,36.0,1,Humanities,2.16
1742,1,3.5,43.8,0,SocialSciences,1.89
1245,0,0.0,62.8,1,STEM,2.52
1697,0,0.0,70.1,0,SocialSciences,2.79
1183,0,0.0,43.5,0,Humanities,2.26
362,0,0.0,32.4,0,SocialSciences,2.02
1474,1,7.1,50.3,0,Humanities,2.17
679,0,0.0,38.5,0,Humanities,2.08
1622,0,0.0,43.7,1,Humanities,2.36
1090,1,9.2,76.7,1,SocialSciences,2.41
1988,0,0.0,73.7,1,Humanities,2.76
1848,1,0.0,58.3,0,STEM,2.32
988,1,4.7,42.3,0,Humanities,2.43
1513,0,0.0,74.0,0,Humanities,3.06
112,0,0.0,62.1,1,Humanities,3.13
1488,1,7.8,66.8,1,Humanities,2.42
1454,0,0.0,46.3,0,STEM,2.42
384,1,0.0,57.4,1,SocialSciences,2.25
1396,0,0.0,26.0,0,SocialSciences,2.22
1055,0,0.0,54.7,0,SocialSciences,2.69
756,1,0.0,37.6,1,SocialSciences,1.92
325,1,0.0,48.4,1,Humanities,2.2
1624,1,6.3,45.1,0,STEM,1.58
788,0,0.0,51.1,0,SocialSciences,2.53
369,0,0.0,42.4,0,Humanities,2.17
1820,1,0.0,53.1,1,Humanities,2.22
70,0,0.0,53.2,0,STEM,2.14
858,1,8.5,58.9,0,Humanities,1.95
